Name,Language,Severity,Word
1,en-us,100,abbo
2,en-us,100,abo
3,en-us,100,abortion
4,en-us,100,abuse
5,en-us,100,addict
6,en-us,100,addicts
7,en-us,100,adult
8,en-us,100,africa
9,en-us,100,african
10,en-us,100,alla
11,en-us,100,allah
12,en-us,100,alligatorbait
13,en-us,100,amateur
14,en-us,100,american
15,en-us,100,anal
16,en-us,100,analannie
17,en-us,100,analsex
18,en-us,100,angie
19,en-us,100,angry
20,en-us,100,anus
21,en-us,100,arab
22,en-us,100,arabs
23,en-us,100,areola
24,en-us,100,argie
25,en-us,100,aroused
26,en-us,100,arse
27,en-us,100,arsehole
28,en-us,100,asian
29,en-us,100,ass
30,en-us,100,assassin
31,en-us,100,assassinate
32,en-us,100,assassination
33,en-us,100,assault
34,en-us,100,assbagger
35,en-us,100,assblaster
36,en-us,100,assclown
37,en-us,100,asscowboy
38,en-us,100,asses
39,en-us,100,assfuck
40,en-us,100,assfucker
41,en-us,100,asshat
42,en-us,100,asshole
43,en-us,100,assholes
44,en-us,100,asshore
45,en-us,100,assjockey
46,en-us,100,asskiss
47,en-us,100,asskisser
48,en-us,100,assklown
49,en-us,100,asslick
50,en-us,100,asslicker
51,en-us,100,asslover
52,en-us,100,assman
53,en-us,100,assmonkey
54,en-us,100,assmunch
55,en-us,100,assmuncher
56,en-us,100,asspacker
57,en-us,100,asspirate
58,en-us,100,asspuppies
59,en-us,100,assranger
60,en-us,100,asswhore
61,en-us,100,asswipe
62,en-us,100,athletesfoot
63,en-us,100,attack
64,en-us,100,australian
65,en-us,100,babe
66,en-us,100,babies
67,en-us,100,backdoor
68,en-us,100,backdoorman
69,en-us,100,backseat
70,en-us,100,badfuck
71,en-us,100,balllicker
72,en-us,100,balls
73,en-us,100,ballsack
74,en-us,100,banging
75,en-us,100,baptist
76,en-us,100,barelylegal
77,en-us,100,barf
78,en-us,100,barface
79,en-us,100,barfface
80,en-us,100,bast
81,en-us,100,bastard 
82,en-us,100,bazongas
83,en-us,100,bazooms
84,en-us,100,beaner
85,en-us,100,beast
86,en-us,100,beastality
87,en-us,100,beastial
88,en-us,100,beastiality
89,en-us,100,beatoff
90,en-us,100,beat-off
91,en-us,100,beatyourmeat
92,en-us,100,beaver
93,en-us,100,bestial
94,en-us,100,bestiality
95,en-us,100,bi
96,en-us,100,biatch
97,en-us,100,bible
98,en-us,100,bicurious
99,en-us,100,bigass
100,en-us,100,bigbastard
101,en-us,100,bigbutt
102,en-us,100,bigger
103,en-us,100,bisexual
104,en-us,100,bi-sexual
105,en-us,100,bitch
106,en-us,100,bitcher
107,en-us,100,bitches
108,en-us,100,bitchez
109,en-us,100,bitchin
110,en-us,100,bitching
111,en-us,100,bitchslap
112,en-us,100,bitchy
113,en-us,100,biteme
114,en-us,100,black
115,en-us,100,blackman
116,en-us,100,blackout
117,en-us,100,blacks
118,en-us,100,blind
119,en-us,100,blow
120,en-us,100,blowjob
121,en-us,100,boang
122,en-us,100,bogan
123,en-us,100,bohunk
124,en-us,100,bollick
125,en-us,100,bollock
126,en-us,100,bomb
127,en-us,100,bombers
128,en-us,100,bombing
129,en-us,100,bombs
130,en-us,100,bomd
131,en-us,100,bondage
132,en-us,100,boner
133,en-us,100,bong
134,en-us,100,boob
135,en-us,100,boobies
136,en-us,100,boobs
137,en-us,100,booby
138,en-us,100,boody
139,en-us,100,boom
140,en-us,100,boong
141,en-us,100,boonga
142,en-us,100,boonie
143,en-us,100,booty
144,en-us,100,bootycall
145,en-us,100,bountybar
146,en-us,100,bra
147,en-us,100,brea5t
148,en-us,100,breast
149,en-us,100,breastjob
150,en-us,100,breastlover
151,en-us,100,breastman
152,en-us,100,brothel
153,en-us,100,bugger
154,en-us,100,buggered
155,en-us,100,buggery
156,en-us,100,bullcrap
157,en-us,100,bulldike
158,en-us,100,bulldyke
159,en-us,100,bullshit
160,en-us,100,bumblefuck
161,en-us,100,bumfuck
162,en-us,100,bunga
163,en-us,100,bunghole
164,en-us,100,buried
165,en-us,100,burn
166,en-us,100,butchbabes
167,en-us,100,butchdike
168,en-us,100,butchdyke
169,en-us,100,butt
170,en-us,100,buttbang
171,en-us,100,butt-bang
172,en-us,100,buttface
173,en-us,100,buttfuck
174,en-us,100,butt-fuck
175,en-us,100,buttfucker
176,en-us,100,butt-fucker
177,en-us,100,buttfuckers
178,en-us,100,butt-fuckers
179,en-us,100,butthead
180,en-us,100,buttman
181,en-us,100,buttmunch
182,en-us,100,buttmuncher
183,en-us,100,buttpirate
184,en-us,100,buttplug
185,en-us,100,buttstain
186,en-us,100,byatch
187,en-us,100,cacker
188,en-us,100,cameljockey
189,en-us,100,cameltoe
190,en-us,100,canadian
191,en-us,100,cancer
192,en-us,100,carpetmuncher
193,en-us,100,carruth
194,en-us,100,catholic
195,en-us,100,catholics
196,en-us,100,cemetery
197,en-us,100,chav
198,en-us,100,cherrypopper
199,en-us,100,chickslick
200,en-us,100,children's
201,en-us,100,chin
202,en-us,100,chinaman
203,en-us,100,chinamen
204,en-us,100,chinese
205,en-us,100,chink
206,en-us,100,chinky
207,en-us,100,choad
208,en-us,100,chode
209,en-us,100,christ
210,en-us,100,christian
211,en-us,100,church
212,en-us,100,cigarette
213,en-us,100,cigs
214,en-us,100,clamdigger
215,en-us,100,clamdiver
216,en-us,100,clit
217,en-us,100,clitoris
218,en-us,100,clogwog
219,en-us,100,cocaine
220,en-us,100,cock
221,en-us,100,cockblock
222,en-us,100,cockblocker
223,en-us,100,cockcowboy
224,en-us,100,cockfight
225,en-us,100,cockhead
226,en-us,100,cockknob
227,en-us,100,cocklicker
228,en-us,100,cocklover
229,en-us,100,cocknob
230,en-us,100,cockqueen
231,en-us,100,cockrider
232,en-us,100,cocksman
233,en-us,100,cocksmith
234,en-us,100,cocksmoker
235,en-us,100,cocksucer
236,en-us,100,cocksuck 
237,en-us,100,cocksucked 
238,en-us,100,cocksucker
239,en-us,100,cocksucking
240,en-us,100,cocktail
241,en-us,100,cocktease
242,en-us,100,cocky
243,en-us,100,cohee
244,en-us,100,coitus
245,en-us,100,color
246,en-us,100,colored
247,en-us,100,coloured
248,en-us,100,commie
249,en-us,100,communist
250,en-us,100,condom
251,en-us,100,conservative
252,en-us,100,conspiracy
253,en-us,100,coolie
254,en-us,100,cooly
255,en-us,100,coon
256,en-us,100,coondog
257,en-us,100,copulate
258,en-us,100,cornhole
259,en-us,100,corruption
260,en-us,100,cra5h
261,en-us,100,crabs
262,en-us,100,crack
263,en-us,100,crackpipe
264,en-us,100,crackwhore
265,en-us,100,crack-whore
266,en-us,100,crap
267,en-us,100,crapola
268,en-us,100,crapper
269,en-us,100,crappy
270,en-us,100,crash
271,en-us,100,creamy
272,en-us,100,crime
273,en-us,100,crimes
274,en-us,100,criminal
275,en-us,100,criminals
276,en-us,100,crotch
277,en-us,100,crotchjockey
278,en-us,100,crotchmonkey
279,en-us,100,crotchrot
280,en-us,100,cum
281,en-us,100,cumbubble
282,en-us,100,cumfest
283,en-us,100,cumjockey
284,en-us,100,cumm
285,en-us,100,cummer
286,en-us,100,cumming
287,en-us,100,cumquat
288,en-us,100,cumqueen
289,en-us,100,cumshot
290,en-us,100,cunilingus
291,en-us,100,cunillingus
292,en-us,100,cunn
293,en-us,100,cunnilingus
294,en-us,100,cunntt
295,en-us,100,cunt
296,en-us,100,cunteyed
297,en-us,100,cuntfuck
298,en-us,100,cuntfucker
299,en-us,100,cuntlick 
300,en-us,100,cuntlicker 
301,en-us,100,cuntlicking 
302,en-us,100,cuntsucker
303,en-us,100,cybersex
304,en-us,100,cyberslimer
305,en-us,100,dago
306,en-us,100,dahmer
307,en-us,100,dammit
308,en-us,100,damn
309,en-us,100,damnation
310,en-us,100,damnit
311,en-us,100,darkie
312,en-us,100,darky
313,en-us,100,datnigga
314,en-us,100,dead
315,en-us,100,deapthroat
316,en-us,100,death
317,en-us,100,deepthroat
318,en-us,100,defecate
319,en-us,100,dego
320,en-us,100,demon
321,en-us,100,deposit
322,en-us,100,desire
323,en-us,100,destroy
324,en-us,100,deth
325,en-us,100,devil
326,en-us,100,devilworshipper
327,en-us,100,dick
328,en-us,100,dickbrain
329,en-us,100,dickforbrains
330,en-us,100,dickhead
331,en-us,100,dickless
